City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,fortuna,40.5982,-124.1573,15.51,88,0,6.69,US,1688508333
84,durgapur,23.4833,87.3167,28.82,78,97,3.02,IN,1688508333
85,stanley,54.868,-1.6985,12.77,85,75,2.57,GB,1688508333
86,westport,41.1415,-73.3579,28.68,94,31,2.11,US,1688508189
87,bapatla,15.9,80.4667,27.77,81,100,4.71,IN,1688508333
88,tazovsky,67.4667,78.7,16.27,91,100,5.72,RU,1688508333
89,punta arenas,-53.15,-70.9167,1.06,86,0,0.0,CL,1688508333
90,magdagachi,53.45,125.8,20.89,63,100,2.22,RU,1688508334
91,enewetak,11.3474,162.3373,28.23,78,83,8.3,MH,1688508334
92,dunedin,-45.8742,170.5036,9.33,62,25,5.81,NZ,1688508042
93,whitehorse,60.7161,-135.0538,21.01,30,75,6.17,CA,1688508334
94,touros,-5.1989,-35.4608,25.17,78,10,8.04,BR,1688508143
95,kapoeta,4.7717,33.5903,25.81,51,29,1.7,SS,1688508334
96,kirakira,-10.4544,161.9205,27.71,81,97,5.38,SB,1688508335
97,krasnyy kut,50.95,46.9667,19.88,83,6,2.24,RU,1688508335
98,bredasdorp,-34.5322,20.0403,8.25,75,36,0.53,ZA,1688508335
99,namibe,-15.1961,12.1522,18.5,86,1,0.91,AO,1688508335
100,rio grande,-32.035,-52.0986,18.86,88,57,4.7,BR,1688508189
101,pacific grove,36.6177,-121.9166,24.0,74,0,4.47,US,1688508042
102,dinguiraye,11.3,-10.7167,24.07,82,93,2.23,GN,1688508336
103,yellowknife,62.456,-114.3525,23.29,31,20,4.63,CA,1688508058
104,constantia,44.1833,28.65,19.38,83,0,2.12,RO,1688508336
105,port elizabeth,-33.918,25.5701,12.28,83,40,5.14,ZA,1688508336
106,iskateley,67.6803,53.1512,13.41,83,91,7.2,RU,1688508336
107,tiksi,71.6872,128.8694,3.94,76,100,4.09,RU,1688508336
108,berdigestyakh,62.0989,126.6992,14.45,57,100,2.23,RU,1688508337
109,corinto,37.9407,22.9573,26.05,67,0,2.01,GR,1688508158
110,ghat,24.9647,10.1728,35.83,11,59,2.46,LY,1688508337
111,inirida,3.8653,-67.9239,25.55,95,72,0.85,CO,1688508337
112,college,64.8569,-147.8028,20.05,44,75,4.12,US,1688508338
113,prado,-17.3411,-39.2208,19.32,83,64,3.9,BR,1688508338
114,ketchikan,55.3422,-131.6461,22.26,49,0,5.14,US,1688508338
115,paidha,2.4167,30.9855,16.99,77,10,1.93,UG,1688508338
116,thompson,55.7435,-97.8558,9.09,76,100,4.63,CA,1688508180
117,nova sintra,14.8667,-24.7167,22.32,85,92,6.7,CV,1688508338
118,ha giang,22.8333,104.9833,25.65,99,98,0.07,VN,1688508339
119,khabarovsk,48.4808,135.0928,17.89,88,0,3.13,RU,1688508339
